address,attributes,business_id,categories,city,hours,is_open,latitude,longitude,name,postal_code,review_count,stars,state,business_parking,ambience,categories_array
4-8110 Birchmount Road,"{""BikeParking"": ""False"", ""RestaurantsPriceRange2"": ""2"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""RestaurantsTakeOut"": ""True"", ""Caters"": ""False""}",NI_4CRkYsvPTh_FvC35F-Q,"""Restaurants, Bubble Tea, Hong Kong Style Cafe, Cantonese, Chinese, Food""",Markham,"{""Monday"": ""17:0-22:0"", ""Wednesday"": ""17:0-22:0"", ""Thursday"": ""17:0-22:0"", ""Friday"": ""17:0-22:0"", ""Saturday"": ""11:0-22:0"", ""Sunday"": ""11:0-22:0""}",0,43.8505186029,-79.3256872147,Little Honey Tea Shop,L6G 0E3,8,2,ON,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Restaurants,Bubble Tea,Hong Kong Style Cafe,Cantonese,Chinese,Food}"
"449 State St, Unit A","{""BikeParking"": ""True"", ""BusinessAcceptsCreditCards"": ""True"", ""RestaurantsTakeOut"": ""True"", ""OutdoorSeating"": ""False"", ""WiFi"": ""'free'"", ""RestaurantsDelivery"": ""False"", ""RestaurantsPriceRange2"": ""1"", ""Caters"": ""False"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",nWbKigQTHKXMuwsvva_rXQ,"""Coffee & Tea, Bakeries, Juice Bars & Smoothies, Food, Bubble Tea""",Madison,"{""Monday"": ""10:0-22:0"", ""Tuesday"": ""10:0-22:0"", ""Wednesday"": ""10:0-22:0"", ""Thursday"": ""10:0-23:0"", ""Friday"": ""10:0-23:0"", ""Saturday"": ""10:0-23:0"", ""Sunday"": ""10:0-22:0""}",1,43.0745126,-89.3933663,Kung Fu Tea,53703,65,4,WI,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Coffee & Tea,Bakeries,Juice Bars & Smoothies,Food,Bubble Tea}"
469 Queen Street W,null,HPrYNgMkdQWEE4XLzLqPAA,"""Bubble Tea, Food, Restaurants, Waffles""",Toronto,null,1,43.6483315,-79.3974594,Bubble Bubble Waffle And Tea,M5V 2A9,3,4.5,ON,,,"{Bubble Tea,Food,Restaurants,Waffles}"
372 Yonge Street,"{""RestaurantsPriceRange2"": ""1"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsDelivery"": ""False""}",kQZVmIRQvHhQuAmA1gfxTw,"""Bubble Tea, Food, Bakeries, Patisserie/Cake Shop""",Toronto,null,1,43.658718804,-79.3823022768,Bake Island,M5G 2K9,19,3.5,ON,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Bubble Tea,Food,Bakeries,Patisserie/Cake Shop}"
675 Yonge St,null,ys1wnjZp4vKVlTGtf8ebLw,"""Bubble Tea, Desserts, Food""",Toronto,"{""Monday"": ""12:30-0:0"", ""Tuesday"": ""12:30-0:0"", ""Wednesday"": ""12:30-0:0"", ""Thursday"": ""12:30-0:0"", ""Friday"": ""11:30-1:0"", ""Saturday"": ""11:30-1:0"", ""Sunday"": ""12:30-0:0""}",1,43.6688655,-79.3858885,Tika Tea House,M4Y 1T1,36,4,ON,,,"{Bubble Tea,Desserts,Food}"
"4810 E Ray Rd, Ste 7A","{""WheelchairAccessible"": ""True"", ""WiFi"": ""'free'"", ""BikeParking"": ""True"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", ""BusinessAcceptsCreditCards"": ""True"", ""RestaurantsPriceRange2"": ""1"", ""RestaurantsTakeOut"": ""True"", ""Caters"": ""False""}",qeQjp9pa9PkyXDv9P5l4Ow,"""Food, Bubble Tea, Ice Cream & Frozen Yogurt""",Phoenix,"{""Monday"": ""11:0-22:0"", ""Tuesday"": ""11:0-22:0"", ""Wednesday"": ""11:0-22:0"", ""Thursday"": ""11:0-22:0"", ""Friday"": ""11:0-23:0"", ""Saturday"": ""11:0-23:0"", ""Sunday"": ""11:0-22:0""}",1,33.3212152,-111.97954849999999,Yummies Yogurt,85044,37,3.5,AZ,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""TRUE"", ""validated"": ""FALSE""}",,"{Food,Bubble Tea,Ice Cream & Frozen Yogurt}"
"7960 S Rainbow Blvd, Ste 8000F","{""BusinessAcceptsBitcoin"": ""False"", ""DogsAllowed"": ""False"", ""WheelchairAccessible"": ""True"", ""RestaurantsPriceRange2"": ""1"", ""BikeParking"": ""False"", ""Caters"": ""False"", ""BusinessAcceptsCreditCards"": ""True"", ""RestaurantsTakeOut"": ""True"", ""OutdoorSeating"": ""False"", ""WiFi"": ""u'free'"", ""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}""}",QpSrAzil6SnTK9-80BrUUA,"""Juice Bars & Smoothies, Tea Rooms, Bubble Tea, Coffee & Tea, Food""",Las Vegas,"{""Monday"": ""11:0-22:0"", ""Tuesday"": ""11:0-22:0"", ""Wednesday"": ""11:0-22:0"", ""Thursday"": ""11:0-22:0"", ""Friday"": ""11:0-22:0"", ""Saturday"": ""13:0-22:0"", ""Sunday"": ""11:0-22:0""}",1,36.0434160172,-115.2418248666,Hot Pink Tea House,89139,83,4.5,NV,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Juice Bars & Smoothies,Tea Rooms,Bubble Tea,Coffee & Tea,Food}"
"Toronto Eaton Centre, 220 Yonge Street",null,XpKvMHxwgt44KgfJZEawZg,"""Juice Bars & Smoothies, Bubble Tea, Food""",Toronto,"{""Monday"": ""10:0-21:30"", ""Tuesday"": ""10:0-21:45"", ""Wednesday"": ""10:0-21:30"", ""Thursday"": ""10:0-21:30"", ""Friday"": ""10:0-21:30"", ""Saturday"": ""9:30-21:30"", ""Sunday"": ""10:0-19:0""}",1,43.6557413846,-79.3814777905,Real Fruit Bubble Tea,M5B 2L7,4,3,ON,,,"{Juice Bars & Smoothies,Bubble Tea,Food}"
55 Avenue Road,"{""RestaurantsPriceRange2"": ""2"", ""OutdoorSeating"": ""False"", ""Caters"": ""False"", ""RestaurantsTakeOut"": ""True"", ""WheelchairAccessible"": ""True"", ""WiFi"": ""u'free'"", ""BusinessParking"": ""{'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", ""BikeParking"": ""True"", ""DogsAllowed"": ""True""}",kHKFpWsbffVgLZChDvvS9Q,"""Coffee & Tea, Bubble Tea, Food, Tea Rooms""",Toronto,"{""Monday"": ""10:0-18:0"", ""Tuesday"": ""10:0-18:0"", ""Wednesday"": ""10:0-18:0"", ""Thursday"": ""10:0-18:0"", ""Friday"": ""10:0-18:0"", ""Saturday"": ""10:0-18:0"", ""Sunday"": ""10:0-18:0""}",0,43.6715255,-79.3945958,The Fresh Tea Shop,M5R 3L2,6,4.5,ON,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""TRUE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Coffee & Tea,Bubble Tea,Food,Tea Rooms}"
"1949 W Ray Rd, Ste 27","{""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""BikeParking"": ""True"", ""RestaurantsTakeOut"": ""True"", ""BusinessAcceptsCreditCards"": ""True"", ""RestaurantsPriceRange2"": ""2"", ""WiFi"": ""u'free'""}",vuuqo4n4SFU6Lft5z8bCnQ,"""Ice Cream & Frozen Yogurt, Bubble Tea, Food, Desserts, Restaurants""",Chandler,"{""Monday"": ""12:30-21:30"", ""Tuesday"": ""16:0-21:30"", ""Wednesday"": ""12:30-21:30"", ""Thursday"": ""12:30-21:30"", ""Friday"": ""12:30-22:0"", ""Saturday"": ""12:30-22:0"", ""Sunday"": ""12:30-21:30""}",0,33.3191497,-111.8740975,Yogurt Time,85224,10,3.5,AZ,"{""lot"": ""TRUE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}",,"{Ice Cream & Frozen Yogurt,Bubble Tea,Food,Desserts,Restaurants}"
"280 W Beaver Creek Rd, Unit 30","{""BusinessParking"": ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", ""Alcohol"": ""'none'"", ""GoodForKids"": ""True"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsPriceRange2"": ""2"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", ""RestaurantsGoodForGroups"": ""True"", ""Caters"": ""False"", ""NoiseLevel"": ""u'quiet'"", ""RestaurantsAttire"": ""'casual'"", ""RestaurantsDelivery"": ""False"", ""HasTV"": ""True"", ""Ambience"": ""{'touristy': False, 'hipster': False, 'romantic': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", ""RestaurantsReservations"": ""False"", ""RestaurantsTableService"": ""True"", ""BikeParking"": ""False"", ""OutdoorSeating"": ""False"", ""WiFi"": ""'no'""}",L1XHTn7S-6har9UGAPjcWQ,"""Taiwanese, Restaurants, Food, Bubble Tea, Coffee & Tea, Chinese""",Richmond Hill,"{""Monday"": ""11:0-22:0"", ""Wednesday"": ""11:0-22:0"", ""Thursday"": ""11:0-22:0"", ""Friday"": ""11:0-22:0"", ""Saturday"": ""11:0-22:0"", ""Sunday"": ""11:0-22:0""}",0,43.8434745276,-79.3876864761,Papa Chang's Tea Bistro,L4B 3Z1,51,3.5,ON,"{""lot"": ""TRUE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""FALSE"", ""validated"": ""FALSE""}","{""casual"": ""TRUE"", ""classy"": ""FALSE"", ""trendy"": ""FALSE"", ""hipster"": ""FALSE"", ""upscale"": ""FALSE"", ""intimate"": ""FALSE"", ""romantic"": ""FALSE"", ""touristy"": ""FALSE""}","{Taiwanese,Restaurants,Food,Bubble Tea,Coffee & Tea,Chinese}"
4126 S Rainbow Blvd,"{""BikeParking"": ""False"", ""OutdoorSeating"": ""False"", ""Alcohol"": ""u'none'"", ""WiFi"": ""u'free'"", ""RestaurantsAttire"": ""'casual'"", ""DogsAllowed"": ""False"", ""HasTV"": ""False"", ""RestaurantsPriceRange2"": ""1"", ""BusinessAcceptsCreditCards"": ""True"", ""RestaurantsTakeOut"": ""True"", ""RestaurantsDelivery"": ""False"", ""BusinessAcceptsBitcoin"": ""False"", ""Caters"": ""False"", ""RestaurantsTableService"": ""False"", ""RestaurantsReservations"": ""False"", ""WheelchairAccessible"": ""False"", ""GoodForKids"": ""True"", ""RestaurantsGoodForGroups"": ""True"", ""Ambience"": ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}"", ""GoodForMeal"": ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", ""BusinessParking"": ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}""}",aivNhZ9sArYQ2XHfCocHng,"""Restaurants, Juice Bars & Smoothies, Bubble Tea, Food, Cafes""",Las Vegas,"{""Monday"": ""11:0-21:0"", ""Tuesday"": ""11:0-21:0"", ""Wednesday"": ""11:0-21:0"", ""Thursday"": ""11:0-21:0"", ""Friday"": ""11:0-21:0"", ""Saturday"": ""11:0-21:0"", ""Sunday"": ""11:0-21:0""}",0,36.112921,-115.241952,Dreamland Cafe,89103,20,4,NV,"{""lot"": ""FALSE"", ""valet"": ""FALSE"", ""garage"": ""FALSE"", ""street"": ""TRUE"", ""validated"": ""FALSE""}","{""divey"": ""FALSE"", ""casual"": ""TRUE"", ""classy"": ""FALSE"", ""trendy"": ""FALSE"", ""hipster"": ""FALSE"", ""upscale"": ""FALSE"", ""intimate"": ""FALSE"", ""romantic"": ""FALSE"", ""touristy"": ""FALSE""}","{Restaurants,Juice Bars & Smoothies,Bubble Tea,Food,Cafes}"
"6120 W Tropicana Ave, Ste A17","{""Caters"": ""False"", ""BusinessAcceptsBitcoin"": ""False"", ""BusinessAcceptsCreditCards"": ""True"", ""BusinessParking"": ""{'garage': True, 'street': True, 'validated': True, 'lot': True, 'valet': True}"", ""RestaurantsPriceRange2"": ""1"", ""BikeParking"": ""True"", ""WiFi"": ""u'free'"", ""WheelchairAccessible"": ""True"", ""DogsAllowed"": ""True"", ""OutdoorSeating"": ""True"", ""RestaurantsTakeOut"": ""True""}",6T39H2dGUnrM91WqvR0VcQ,"""Bubble Tea, Juice Bars & Smoothies, Coffee & Tea, Tea Rooms, Ice Cream & Frozen Yogurt, Food""",Las Vegas,"{""Monday"": ""11:0-21:0"", ""Tuesday"": ""11:0-21:0"", ""Wednesday"": ""11:0-21:0"", ""Thursday"": ""11:0-21:0"", ""Friday"": ""11:0-21:0"", ""Saturday"": ""11:0-21:0"", ""Sunday"": ""11:0-21:0""}",1,36.1014755,-115.225565,Mr Tea,89103,363,4.5,NV,"{""lot"": ""TRUE"", ""valet"": ""TRUE"", ""garage"": ""TRUE"", ""street"": ""TRUE"", ""validated"": ""TRUE""}",,"{Bubble Tea,Juice Bars & Smoothies,Coffee & Tea,Tea Rooms,Ice Cream & Frozen Yogurt,Food}"
"860 E Twain Ave, Ste 101",null,BDGApndPt0ihsvK9FM104Q,"""Food, Chicken Wings, Restaurants, Desserts, Bubble Tea, Coffee & Tea""",Las Vegas,"{""Monday"": ""11:0-19:0"", ""Tuesday"": ""11:0-19:0"", ""Thursday"": ""11:0-19:0"", ""Friday"": ""11:0-19:0"", ""Saturday"": ""11:0-19:0"", ""Sunday"": ""11:0-17:0""}",1,36.1225777,-115.1441707,Cali Cafe,89169,5,5,NV,,,"{Food,Chicken Wings,Restaurants,Desserts,Bubble Tea,Coffee & Tea}"
